Date,Open,High,Low,Close,Adj Close,Volume
2019-12-04,49150.0,49350.0,49050.0,49300.0,49300.0,1049233
2019-12-04,49250.0,49850.0,49250.0,49850.0,49850.0,1446413
2019-12-04,49800.0,49850.0,49550.0,49550.0,49550.0,1735773
2019-12-05,50200.0,50400.0,49950.0,50100.0,50100.0,0
2019-12-05,50100.0,50100.0,49600.0,49800.0,49800.0,1458620
2019-12-05,49800.0,49900.0,49600.0,49650.0,49650.0,789855
2019-12-05,49650.0,49700.0,49500.0,49700.0,49700.0,968186
2019-12-05,49700.0,49800.0,49600.0,49700.0,49700.0,1158982
2019-12-05,49700.0,49700.0,49500.0,49600.0,49600.0,1842752
2019-12-06,50100.0,50800.0,49950.0,50600.0,50600.0,0
2019-12-06,50700.0,50900.0,50400.0,50600.0,50600.0,1699411
2019-12-06,50600.0,50700.0,50500.0,50600.0,50600.0,551553
2019-12-06,50600.0,50700.0,50500.0,50500.0,50500.0,767882
2019-12-06,50600.0,50700.0,50500.0,50500.0,50500.0,902835
2019-12-06,50500.0,50600.0,50400.0,50500.0,50500.0,1519169
2019-12-09,50900.0,51400.0,50700.0,51000.0,51000.0,0
2019-12-09,51000.0,51300.0,51000.0,51100.0,51100.0,1085857
2019-12-09,51100.0,51300.0,51100.0,51200.0,51200.0,673247
2019-12-09,51100.0,51200.0,51000.0,51100.0,51100.0,639709
2019-12-09,51100.0,51200.0,51000.0,51100.0,51100.0,652106
2019-12-09,51100.0,51200.0,51000.0,51200.0,51200.0,960968
2019-12-10,51000.0,51100.0,50700.0,50900.0,50900.0,0
2019-12-10,50900.0,51200.0,50900.0,51100.0,51100.0,713679
2019-12-10,51100.0,51300.0,51100.0,51200.0,51200.0,552909
2019-12-10,51300.0,51300.0,51200.0,51300.0,51300.0,290048
